T,T amb,q in,q out,price
27.54,18.2,77.5,56.02,0.22
29.98,18.2,77.56,56.25,0.22
32.38,18.1,77.6,56.48,0.22
34.47,18.2,77.65,56.7,0.22
36.74,18.1,77.69,56.93,0.22
39.05,17.9,77.72,57.14,0.22
40.8,18,77.75,57.36,0.22
42.78,17.9,77.78,57.57,0.22
44.94,17.9,77.8,57.78,0.22
46.65,17.9,77.82,57.99,0.22
48.26,18,77.83,58.19,0.22
49.9,17.9,77.84,58.39,0.22
51.65,17.8,77.85,58.59,0.22
53.06,18,77.85,58.79,0.22
54.76,18,77.85,58.98,0.22
55.99,17.6,77.85,59.17,0.22
57.41,17.9,77.85,59.36,0.22
58.67,17.7,77.84,59.55,0.22
59.96,17.7,77.82,59.73,0.22
61.34,17.7,77.81,59.91,0.22
62.35,17.6,77.79,60.09,0.22
63.33,17.6,77.76,60.26,0.22
64.48,17.8,77.74,60.44,0.22
65.42,17.9,77.71,60.61,0.22
66.48,17.8,77.68,60.78,0.22
67.23,17.7,77.65,60.94,0.22
68,17.9,77.61,61.11,0.22
68.96,17.9,77.57,61.27,0.22
69.53,17.9,77.53,61.43,0.22
70.45,18,77.48,61.58,0.22
70.97,18,77.43,61.74,0.22
71.72,17.8,77.38,61.89,0.22
72.24,17.9,77.32,62.04,0.22
72.57,18,77.26,62.18,0.22
73.29,17.9,77.2,62.32,0.22
73.58,17.9,77.13,62.46,0.22
74.27,17.9,77.07,62.6,0.22
74.37,17.9,77.02,62.73,0.22
75.02,17.9,76.97,62.86,0.22
75.27,18,76.92,62.98,0.22
75.36,18.1,76.87,63.1,0.22
75.83,18,76.82,63.22,0.22
76.16,18,76.77,63.33,0.22
76.14,18.2,76.73,63.44,0.22
76.53,18.3,76.69,63.55,0.22
76.53,18.3,76.67,63.65,0.22
76.86,18.2,76.65,63.75,0.22
77.04,18,76.64,63.85,0.22
77.03,18,76.64,63.96,0.22
77.07,18.1,76.66,64.07,0.22
77.06,18.2,76.71,64.21,0.22
77.15,18,76.77,64.36,0.22
77.25,17.9,76.85,64.51,0.22
77.47,18.2,76.94,64.66,0.22
77.49,17.9,77.04,64.82,0.22
77.57,18,77.14,64.98,0.22
77.3,18,77.24,65.14,0.22
77.61,17.9,77.34,65.31,0.22
77.45,18.1,77.43,65.47,0.22
77.63,18.1,77.53,65.64,0.22
77.46,18.1,77.61,65.81,0.22
77.54,18.2,77.69,65.98,0.22
77.3,17.9,77.76,66.15,0.22
77.27,18.2,77.82,66.31,0.22
77.46,18.2,77.88,66.48,0.22
77.21,18.2,77.92,66.65,0.22
77.12,18,77.96,66.81,0.22
76.94,18.2,77.98,66.97,0.22
77.03,18,78,67.13,0.22
76.79,17.9,78.01,67.29,0.22
76.8,18.1,78,67.44,0.22
76.61,18,77.99,67.59,0.22
76.39,18,77.98,67.74,0.22
76.16,18,77.96,67.89,0.22
75.9,18,77.94,68.03,0.22
75.75,18.2,77.92,68.17,0.22
75.43,17.9,77.91,68.31,0.22
75.16,18,77.89,68.45,0.22
74.85,18,77.87,68.58,0.22
74.7,17.9,77.86,68.71,0.22
74.56,18.1,77.84,68.84,0.22
74.04,17.9,77.82,68.97,0.22
73.66,17.9,77.79,69.1,0.22
73.45,17.9,77.76,69.22,0.22
73.21,18.1,77.71,69.34,0.22
72.72,18,77.66,69.46,0.22
72.28,18,77.59,69.57,0.22
72.21,18.1,77.52,69.69,0.22
71.69,18.2,77.45,69.8,0.22
71.13,18,77.38,69.91,0.22
71.01,18.1,77.31,70.02,0.22
70.62,17.9,77.24,70.12,0.22
70.01,17.9,77.18,70.23,0.22
69.72,17.9,77.12,70.33,0.22
69.16,18,77.08,70.43,0.22
68.73,18.2,77.06,70.52,0.22
68.15,18,77.05,70.62,0.22
67.84,18.2,77.05,70.71,0.22
67.24,18.1,77.07,70.8,0.22
66.98,18.2,77.11,70.89,0.22
66.54,18.3,77.15,70.87,0.22
65.81,18.4,77.21,70.85,0.22
65.41,18.1,77.27,70.83,0.22
65.26,18.3,77.34,70.81,0.22
64.68,18.4,77.42,70.79,0.22
64.62,18.1,77.5,70.77,0.22
64.16,18.1,77.58,70.75,0.22
63.98,18.4,77.65,70.73,0.22
63.43,18.3,77.72,70.71,0.22
63.36,18.3,77.79,70.69,0.22
63.17,18.3,77.84,70.67,0.22
62.79,18.3,77.88,70.66,0.22
62.51,18,77.92,70.64,0.22
62.39,18.3,77.96,70.63,0.22
62.16,18.3,77.99,70.62,0.22
61.95,18.2,78.01,70.62,0.22
61.76,18.4,78.02,70.62,0.22
61.6,18.1,78.02,70.62,0.22
61.39,18.2,78.01,70.63,0.22
61.17,18.3,78,70.64,0.22
61.08,18.2,77.97,70.65,0.22
60.8,18.2,77.94,70.67,0.22
60.76,18.2,77.9,70.68,0.22
60.67,18.1,77.86,70.7,0.22
60.44,18.3,77.81,70.72,0.22
60.35,18.3,77.77,70.74,0.22
60.03,18.1,77.74,70.76,0.22
59.98,18,77.71,70.78,0.22
59.71,18.1,77.7,70.8,0.22
59.4,18,77.68,70.82,0.22
59.26,18.2,77.67,70.83,0.22
59,18.1,77.67,70.85,0.22
58.98,18.2,77.67,70.86,0.22
58.65,18,77.66,70.87,0.22
58.74,18.1,77.67,70.87,0.22
58.59,18,77.67,70.87,0.22
58.18,18.1,77.67,70.86,0.22
58.12,18.1,77.67,70.85,0.22
58.03,18.3,77.67,70.84,0.22
57.72,18.2,77.67,70.82,0.22
57.74,18.2,77.67,70.79,0.22
57.66,18.1,77.67,70.77,0.22
57.33,18.2,77.66,70.74,0.22
57.15,18.3,77.64,70.7,0.22
57.04,18.3,77.62,70.67,0.22
56.91,18.3,77.58,70.63,0.22
56.98,18.4,77.54,70.59,0.22
56.84,18.3,77.49,70.56,0.22
56.78,18.5,77.43,70.52,0.22
56.8,18.5,77.37,70.48,0.22
56.38,18.4,77.29,70.45,0.22
56.39,18.4,77.2,70.41,0.22
56.15,18.6,77.1,70.38,0.22
56.27,18.4,77.01,70.35,0.22
56.24,18.4,76.9,70.33,0.22
55.95,18.7,76.8,70.31,0.22
55.75,18.5,76.69,70.29,0.22
55.59,18.5,76.58,70.28,0.22
55.38,18.6,76.47,70.27,0.22
55.46,18.5,76.36,70.26,0.22
55.08,18.7,76.27,70.26,0.22
54.89,18.6,76.19,70.26,0.22
54.95,18.6,76.13,70.26,0.22
54.79,18.4,76.1,70.27,0.22
54.57,18.6,76.09,70.28,0.22
54.31,18.6,76.1,70.29,0.22
54.29,18.5,76.15,70.31,0.22
54.13,18.5,76.21,70.34,0.22
53.72,18.6,76.3,70.36,0.22
53.52,18.5,76.41,70.39,0.22
53.4,18.6,76.54,70.42,0.22
53.32,18.6,76.69,70.46,0.22
53.23,18.4,76.86,70.49,0.22
53.18,18.3,77.03,70.53,0.22
53.11,18.5,77.22,70.56,0.22
53.28,18.4,77.41,70.6,0.22
52.96,18.5,77.62,70.64,0.22
53,18.3,77.83,70.68,0.22
53.06,18.4,78.05,70.71,0.22
53.33,18.2,78.28,70.75,0.22
53.25,18.2,78.51,70.79,0.22
53.35,18.3,78.74,70.82,0.22
53.29,18.2,78.95,70.86,0.22
53.62,18.3,79.15,70.9,0.22
53.8,18.3,79.33,70.93,0.22
53.74,18.6,79.48,70.96,0.22
54.16,18.3,79.6,70.99,0.22
54.12,18.5,79.68,71.02,0.22
54.43,18.5,79.73,71.04,0.22
54.5,18.4,79.74,71.06,0.22
54.74,18.4,79.73,71.08,0.22
54.73,18.7,79.68,71.1,0.22
54.97,18.6,79.61,71.11,0.22
55.07,18.6,79.5,71.12,0.22
55.28,18.7,79.37,71.13,0.22
55.47,18.6,79.21,71.13,0.22
55.36,18.7,79.02,71.13,0.22
55.63,18.7,78.82,71.12,0.22
55.54,18.7,78.6,71.11,0.22
55.49,18.6,78.37,71.09,0.22
55.7,18.7,78.14,71.07,0.22
55.39,18.5,77.91,71.05,0.22
55.54,18.6,77.68,71.01,0.22
55.49,18.5,77.46,70.98,0.22
55.35,18.5,77.25,70.94,0.22
54.96,18.5,77.06,70.9,0.22
54.8,18.6,76.89,70.85,0.22
54.83,18.6,76.74,70.81,0.22
54.46,18.5,76.61,70.76,0.22
54.47,18.6,76.5,70.71,0.22
54.39,18.6,76.41,70.66,0.22
54.14,18.5,76.36,70.6,0.22
53.75,18.6,76.32,70.55,0.22
53.82,18.3,76.32,70.51,0.22
53.43,18.4,76.34,70.46,0.22
53.43,18.5,76.39,70.41,0.22
53.43,18.2,76.47,70.37,0.22
53.01,18.2,76.57,70.33,0.22
53.12,18.2,76.69,70.3,0.22
53.05,18.5,76.83,70.27,0.22
52.89,18.3,76.97,70.24,0.22
52.77,18.3,77.12,70.23,0.22
52.77,18.5,77.28,70.22,0.22
52.79,18.3,77.43,70.21,0.22
52.98,18.1,77.57,70.22,0.22
52.89,18.2,77.7,70.23,0.22
52.92,18.2,77.83,70.25,0.22
53.23,18.4,77.95,70.27,0.22
53.18,18.4,78.06,70.31,0.22
53.16,18.2,78.17,70.35,0.22
53.24,18.4,78.27,70.4,0.22
53.36,18.2,78.38,70.45,0.22
53.59,18.2,78.48,70.51,0.22
53.6,18.4,78.58,70.58,0.22
53.7,18.5,78.68,70.65,0.22
53.95,18.4,78.77,70.73,0.22
53.9,18.3,78.87,70.81,0.22
54.01,18.6,78.95,70.9,0.22
54.18,18.6,79.03,70.98,0.22
54.4,18.5,79.11,71.07,0.22
54.54,18.4,79.17,71.16,0.22
54.58,18.6,79.22,71.25,0.22
54.68,18.3,79.27,71.34,0.22
54.77,18.6,79.31,71.43,0.22
54.9,18.6,79.35,71.51,0.22
54.9,18.3,79.39,71.59,0.22
54.85,18.4,79.42,71.66,0.22
54.77,18.4,79.46,71.73,0.22
55,18.6,79.49,71.79,0.22
54.94,18.5,79.52,71.85,0.22
55,18.4,79.54,71.9,0.22
55.08,18.5,79.55,71.93,0.22
55.04,18.6,79.56,71.97,0.22
55.21,18.4,79.57,71.99,0.22
55.24,18.5,79.57,72.01,0.22
55.3,18.5,79.58,72.02,0.22
55.21,18.7,79.58,72.02,0.22
55.34,18.6,79.58,72.02,0.22
55.33,18.7,79.56,72.01,0.22
55.35,18.7,79.54,71.99,0.22
55.36,18.8,79.51,71.97,0.22
55.16,18.8,79.46,71.94,0.22
55.25,18.7,79.4,71.91,0.22
55.32,18.6,79.31,71.87,0.22
55.16,18.6,79.2,71.83,0.22
55.45,18.9,79.06,71.78,0.22
55.38,18.9,78.92,71.73,0.22
55.34,18.7,78.75,71.67,0.22
55.35,18.8,78.58,71.6,0.22
55.15,18.8,78.4,71.53,0.22
55.1,18.9,78.22,71.46,0.22
55.17,18.7,78.03,71.38,0.22
54.92,18.7,77.85,71.3,0.22
55.03,18.8,77.66,71.21,0.22
54.77,18.7,77.48,71.12,0.22
54.68,18.9,77.3,71.03,0.22
54.46,18.9,77.13,70.94,0.22
54.3,18.7,76.95,70.85,0.22
54.23,18.7,76.78,70.76,0.22
54.24,18.8,76.61,70.67,0.22
53.93,18.7,76.46,70.58,0.22
53.78,18.7,76.31,70.49,0.22
53.82,18.7,76.18,70.41,0.22
53.48,18.7,76.06,70.33,0.22
53.36,18.8,75.96,70.26,0.22
53.34,18.8,75.88,70.19,0.22
53.04,18.8,75.82,70.14,0.22
53.07,18.9,75.78,70.09,0.22
52.84,19,75.75,70.05,0.22
52.61,19,75.74,70.01,0.22
52.64,18.9,75.75,69.99,0.22
52.19,19.1,75.78,69.97,0.22
52.23,18.9,75.81,69.96,0.22
52.2,19.1,75.87,69.96,0.22
52.16,19.2,75.94,69.97,0.22
51.87,19.2,76.03,69.99,0.22
51.73,18.9,76.13,70.02,0.22
51.8,19.2,76.26,70.05,0.22
51.71,19.2,76.41,70.09,0.22
51.71,18.9,76.58,70.14,0.22
51.86,18.9,76.76,70.2,0.22
51.71,19.2,76.96,70.26,0.22
51.86,19.1,77.18,70.32,0.22
51.87,19,77.41,70.39,0.22
51.94,19.1,77.63,70.46,0.22
51.8,19.2,77.86,70.53,0.22
52.07,19.1,78.08,70.6,0.22
52.2,19,78.28,70.67,0.22
52.14,18.8,78.47,70.73,0.22
52.39,19.1,78.64,70.79,0.22
52.3,19.1,78.78,70.85,0.22
52.75,19.1,78.9,70.9,0.22
52.72,18.9,79,70.95,0.22
52.84,19.1,79.08,70.99,0.22
52.95,19.1,79.12,71.03,0.22
53.12,19.1,79.15,71.05,0.22
53.36,19.1,79.15,71.07,0.22
53.59,19.1,79.12,71.08,0.22
53.65,19.1,79.08,71.09,0.22
53.87,18.9,79.02,71.08,0.22
53.81,18.9,78.93,71.06,0.22
54.07,19.1,78.83,71.04,0.22
54.02,19,78.72,71.01,0.22
54.31,18.9,78.58,70.97,0.22
54.34,18.9,78.44,70.92,0.22
54.32,19,78.27,70.86,0.22
54.42,19,78.1,70.8,0.22
54.28,18.9,77.91,70.73,0.22
54.48,18.9,77.71,70.65,0.22
54.27,18.9,77.49,70.57,0.22
54.24,18.8,77.26,70.48,0.22
54.29,18.9,77.02,70.39,0.22
54.32,19,76.76,70.3,0.22
54.05,18.8,76.5,70.2,0.22
53.83,19,76.24,70.1,0.22
53.94,19.1,75.99,70.01,0.22
53.72,18.9,75.75,69.91,0.22
53.6,18.9,75.54,69.81,0.22
53.59,19.1,75.34,69.72,0.22
53.27,18.9,75.18,69.63,0.22
53.11,19.1,75.05,69.54,0.22
53.09,19.2,74.95,69.45,0.22
52.78,18.9,74.88,69.37,0.22
52.74,19.2,74.84,69.29,0.22
52.39,19.2,74.84,69.22,0.22
52.35,19,74.86,69.15,0.22
52.21,19.1,74.91,69.1,0.22
51.91,19,74.99,69.05,0.22
52,19.3,75.08,69,0.22
51.94,19.1,75.2,68.97,0.22
52.03,19.2,75.33,68.94,0.22
51.82,19.4,75.47,68.92,0.22
52.01,19.4,75.63,68.91,0.22
51.84,19.4,75.8,68.9,0.22
51.81,19.2,75.97,68.91,0.22
52,19.1,76.15,68.92,0.22
52.02,19.3,76.32,68.94,0.22
52.26,19.3,76.5,68.96,0.22
52.4,19.5,76.67,69,0.24
52.24,19.5,76.82,69.04,0.24
52.37,19.5,76.97,69.08,0.24
52.6,19.4,77.11,69.13,0.24
52.8,19.5,77.23,69.19,0.24
52.91,19.4,77.34,69.26,0.24
53.3,19.6,77.43,69.33,0.24
53.25,19.4,77.52,69.41,0.24
53.38,19.4,77.59,69.49,0.24
53.47,19.7,77.65,69.57,0.24
53.64,19.6,77.7,69.65,0.24
53.85,19.7,77.74,69.74,0.24
53.95,19.6,77.77,69.83,0.24
54.13,19.6,77.79,69.92,0.24
54.43,19.5,77.8,70.01,0.24
54.45,19.5,77.8,70.1,0.24
54.4,19.6,77.78,70.19,0.24
54.4,19.6,77.74,70.28,0.24
54.53,19.5,77.7,70.36,0.24
54.78,19.7,77.65,70.44,0.24
54.58,19.5,77.61,70.52,0.24
54.79,19.6,77.58,70.59,0.24
54.72,19.7,77.56,70.65,0.24
54.46,19.8,77.55,70.71,0.24
54.71,19.7,77.55,70.77,0.24
54.63,19.4,77.57,70.82,0.24
54.66,19.7,77.6,70.86,0.24
54.37,19.5,77.64,70.89,0.24
54.44,19.7,77.68,70.92,0.24
54.43,19.6,77.73,70.94,0.24
54.38,19.5,77.77,70.96,0.24
54.48,19.4,77.8,70.97,0.24
54.38,19.4,77.83,70.98,0.24
54.44,19.4,77.85,70.98,0.24
54.25,19.5,77.85,70.98,0.24
54.25,19.4,77.84,70.98,0.24
54.38,19.5,77.81,70.97,0.24
54.06,19.4,77.77,70.95,0.24
54.11,19.7,77.71,70.93,0.24
54.15,19.7,77.64,70.91,0.24
54.13,19.5,77.56,70.88,0.24
53.97,19.4,77.47,70.86,0.24
54.07,19.4,77.38,70.82,0.24
54.08,19.6,77.27,70.79,0.24
54.02,19.5,77.17,70.76,0.24
53.88,19.5,77.06,70.72,0.24
53.71,19.6,76.96,70.68,0.24
53.71,19.5,76.87,70.65,0.24
53.65,19.5,76.78,70.61,0.24
53.61,19.7,76.7,70.57,0.24
53.5,19.6,76.63,70.53,0.24
53.21,19.7,76.57,70.49,0.24
53.26,19.5,76.52,70.45,0.24
53.14,19.6,76.48,70.41,0.24
53.21,19.4,76.44,70.37,0.24
53.02,19.6,76.41,70.33,0.24
52.98,19.8,76.39,70.29,0.24
52.95,19.7,76.36,70.26,0.24
52.65,19.7,76.34,70.22,0.24
52.72,19.7,76.32,70.18,0.24
52.68,19.6,76.3,70.15,0.24
52.68,19.6,76.29,70.11,0.24
52.45,19.5,76.28,70.08,0.24
52.43,19.6,76.27,70.04,0.24
52.51,19.5,76.27,70.01,0.24
52.51,19.5,76.28,69.98,0.24
52.16,19.7,76.3,69.94,0.24
52.45,19.4,76.33,69.91,0.24
52.24,19.4,76.37,69.88,0.24
52.18,19.4,76.41,69.85,0.24
52.17,19.5,76.47,69.82,0.24
52.28,19.6,76.52,69.79,0.24
52.4,19.5,76.59,69.76,0.24
52.12,19.5,76.65,69.73,0.24
52.28,19.5,76.71,69.7,0.24
52.37,19.5,76.76,69.67,0.24
52.44,19.6,76.81,69.65,0.24
52.64,19.4,76.83,69.62,0.24
52.53,19.4,76.85,69.6,0.24
52.74,19.4,76.84,69.57,0.24
52.75,19.3,76.82,69.55,0.24
52.68,19.5,76.79,69.53,0.24
52.83,19.4,76.74,69.52,0.24
52.99,19.4,76.68,69.5,0.24
52.87,19.4,76.6,69.49,0.24
53.11,19.5,76.52,69.48,0.24
52.86,19.5,76.43,69.47,0.24
53.04,19.5,76.35,69.47,0.24
52.91,19.7,76.27,69.47,0.24
52.94,19.5,76.2,69.47,0.24
53.1,19.7,76.14,69.47,0.24
53.1,19.8,76.1,69.48,0.24
53.04,19.7,76.07,69.49,0.24
53.13,19.6,76.05,69.5,0.24
53.06,19.6,76.05,69.52,0.24
52.95,19.8,76.07,69.54,0.24
52.91,19.9,76.1,69.56,0.24
52.93,19.7,76.15,69.59,0.24
53.03,19.8,76.22,69.62,0.24
53.03,19.8,76.31,69.66,0.24
52.72,19.9,76.41,69.69,0.24
52.9,19.9,76.53,69.73,0.24
53.03,20,76.65,69.77,0.24
52.96,20,76.77,69.81,0.24
52.97,19.8,76.91,69.85,0.24
53.01,20.1,77.05,69.89,0.24
53.15,20,77.19,69.94,0.24
53.14,19.8,77.35,69.99,0.24
53.15,20.1,77.51,70.04,0.24
53.31,20.1,77.68,70.09,0.24
53.58,19.8,77.85,70.15,0.24
53.52,20,78.02,70.2,0.24
53.78,19.9,78.19,70.27,0.24
53.83,20,78.36,70.33,0.24
53.93,19.9,78.52,70.39,0.24
54.06,19.9,78.67,70.46,0.24
54.18,19.9,78.82,70.53,0.24
54.41,19.8,78.94,70.6,0.24
54.52,20,79.06,70.67,0.24
54.75,19.9,79.16,70.73,0.24
55.11,20.1,79.23,70.8,0.24
55.17,19.9,79.29,70.87,0.24
55.17,19.8,79.33,70.93,0.24
55.62,20.1,79.34,70.98,0.24
55.74,20,79.34,71.04,0.24
55.85,20.1,79.32,71.08,0.24
55.98,19.9,79.28,71.12,0.24
55.94,20.2,79.23,71.16,0.24
56.13,20.2,79.16,71.19,0.24
56.22,20.2,79.09,71.21,0.24
56.3,20.3,79.01,71.22,0.24
56.45,20.2,78.92,71.23,0.24
56.35,20.3,78.83,71.24,0.24
56.58,20.4,78.74,71.23,0.24
56.43,20.5,78.64,71.22,0.24
56.5,20.4,78.55,71.21,0.24
56.58,20.3,78.45,71.18,0.24
56.37,20.6,78.35,71.15,0.24
56.31,20.6,78.26,71.12,0.24
56.28,20.5,78.16,71.08,0.24
56.55,20.4,78.05,71.04,0.24
